B1,B2,B3
212,9,mArkaTapipIlikA
213,10,zrIdharIpaJcadazI
214,10,saMhantrI
215,10,RkSI
216,10,anusaMsR
217,10,sudevana
218,10,upanaddha
219,10,citradharman
220,10,ducchaka
221,10,abhihvAra
222,10,zrIyazas
223,10,nizipuSpI
224,10,vaiSNAvaruNa
225,10,purastAdanUka
226,10,temanI
227,10,mahAbali
228,10,ayugapadbhAva
229,10,lomakITa
230,10,agrabhU
231,10,kila
232,10,pippalamAtra
233,10,zazidhara
234,10,pRSThAkSepa
235,10,ziSyaputra
236,10,lalita
237,10,sarvAcArya
238,10,vitathAbhiniveza
239,10,nagajA
240,10,sAvaraNa
241,10,nAriGgI
242,10,araru
243,10,sahasrAMzu
244,10,godAvarI
245,10,AmIv
246,10,suvarUthin
247,10,savyapatrapa
248,10,sadAtman
249,10,SoDazAGgulaka
250,10,mUSavAhana
251,10,bastazRGgI
252,10,pariNinaMsu
253,10,garuDAgraja
254,10,sarvAzaya
255,10,sutIkSNa
256,10,strIvyaJjanakRtA
257,10,bahudhAtmaka
258,10,kutarka
259,10,svastidevI
260,10,nIkAza
261,10,veNuvAdaka
262,10,dRSTipAta
263,11,devAnukrama
264,11,bhadrakapila
265,11,kiNakRta
266,11,jIrNoddhRta
267,11,tIkSNatara
268,11,revat
269,11,Avir
270,11,parajAta
271,11,sAnuruha
272,11,kudri
273,11,padmabandhu
274,11,neSTRtvaprayoga
275,11,saMdhyAmantravyAkhyA
276,11,hreSA
277,11,subodham
278,11,kuddAlakakhAta
279,11,surabhicchada
280,11,kAthaJcitka
281,11,nakAravipulA
282,11,zvetaroman
283,11,ArdramaJjarI
284,11,ekazAkhIya
285,11,asRkpAta
286,11,lipsita
287,12,mRtaputra
288,12,sarpamaNi
289,12,karamokSa
290,12,brahmasUtracandrikA
291,12,nisarganipuNa
292,12,abhiprasRta
293,12,gharmaziras
294,12,zRGgaka
295,12,kedArakaTu
296,12,vAsaramaNi
297,13,tiraskAriNI
298,13,lavaNottama
299,13,nAkApagA
300,13,saMvicetavya
301,13,sabheya
302,13,zizunAka
303,13,zAmIvata
304,13,pakSavat
305,13,vyAhAva
306,13,vidyAbala
307,13,susarala
308,13,dhanvantari
309,13,atibRh
310,13,duSTuta
311,13,zarabhezvarakavaca
312,13,timirAkula
313,13,vizvagUrNa
314,13,hiraNyakakSa
315,13,zAThin
316,13,netraniMsin
317,13,ajAmitva
318,13,prAtaHsAva
319,13,saMdohyA
320,13,zucipezas
321,13,svardhenu
322,13,kurukSetraka
323,13,tvAdRzaka
324,13,zatahan
325,13,yauna
326,13,piNDIbhAva
327,13,netavya
328,13,vikumbhANDa
329,13,udgrAhiNI
330,13,sumanyu
331,13,cupadAsaka
332,13,taTAka
333,13,dAhAdhikAra
334,13,vinAyakazAntiprayoga
335,13,sAnUkAza
336,13,phalaprepsu
337,14,SaTpadA
338,14,dignAga
339,14,makuti
340,14,triyAjJa
341,14,pathyApathyavidhi
342,14,tarumUla
343,14,upAlAlya
344,14,kRSNasAraGgI
345,15,kSudrabaka
346,15,guNabhadra
347,15,nirdezaka
348,15,bhAvicakravartin
349,15,zAkalaka
350,15,varISu
351,15,parauSNih
352,15,pUraNakAzyapa
353,15,anyadAzis
354,15,viplutabhASin
355,15,ibhakesara
356,15,upadhR
357,15,ziSyarUpin
358,15,anUdhas
359,15,abhisamplu
360,15,dvaMdvam
361,15,parirApin
362,15,vyupanI
363,15,saktadviS
364,15,mitravardhana
365,15,stokatva
366,15,ekapadI
367,15,tRNNa
368,15,samAdhAyaka
369,15,zrutazIlopasampanna
370,15,yAvI
371,15,padazabda
372,15,ekaja
373,15,bhUruh
374,15,zAstrajJatva
375,15,gargara
376,15,lelya
377,15,kAs
378,15,parimArga
379,15,liGgalIlAvilAsacaritra
380,15,kalAvika
381,16,zailendrastha
382,16,yamadaMSTrA
383,16,hAyikAra
384,16,abhrottha
385,16,humphaDanta
386,16,praropita
387,16,atyayikapiNDapAta
388,16,madhyamarekhA
389,16,sAdhuvAdin
390,16,dUrapatha
391,16,sarIDham
392,16,devAMza
393,16,zatAruSI
394,16,trinavatitama
395,16,prasAdadAna
396,16,nirazana
397,16,vaidhatva
398,16,vijjula
399,16,zambhunAthArcana
400,16,atisthUla
401,16,kusumAtmaka
402,16,nitud
403,16,kAMsyapAtra
404,16,gurutara
405,16,cakSas
406,16,tAnava
407,16,pauSpi
408,16,haricandana
409,16,prANadyUtAbhidevana
410,16,tAlukaNTaka
411,16,aspRSTarajastamaska
412,16,yathAprAptam
413,16,zuddhadanta
414,16,utkarAdi
415,16,truT
416,16,alopI
417,16,kamanacchada
418,16,prapatti
419,17,marutkara
420,17,atidiv
421,17,spara
422,17,taponiSTha
423,17,mahIdharadatta
424,17,khalAjinIya
425,17,vegajavA
426,17,vijayasaptamI
427,17,kiNajAta
428,17,kRmighnA
429,17,sukezinI
430,17,ekaguruka
431,17,manthadaNDa
432,17,cirbhaTikA
433,17,apohita
434,17,vAdivAgIzvara
435,17,chattraka
436,17,krauJcapura
437,17,zrAvita
438,17,vidyAdhana
439,17,upArata
440,17,manoruj
441,17,padavirAma
442,17,harihaya
443,17,nirvairam
444,17,azmarI
445,17,zikhAdhara
446,17,alpAmbutIrtha
447,17,kSmAy
448,17,prauDhiman
449,17,ayudha
450,17,atyAdham
451,17,cheda
452,17,uttaramAnasa
453,17,vanapUrva
454,17,sthairyavattva
455,18,amImAMsaka
456,18,narmasphUrja
457,18,niryukta
458,18,jAlikA
459,18,pradyumnapura
460,18,mithunayoni
461,18,tRNajAti
462,18,vIraprajAyinI
463,18,sIpAla
464,18,dheyezvara
465,18,abhisaMzliS
466,18,avazaMgama
467,18,dAnabhinna
468,18,zuddhodana
469,18,samutpAdana
470,18,prAtaHsmaraNa
471,18,mahApRthivItva
472,18,zAmbarI
473,18,dhAnyamAna
474,19,purumAyya
475,19,rAkya
476,19,zuddhavatI
477,19,abhyavakRR
478,19,nAnAnAmanirUpaNa
479,19,sakRd
480,19,suparvata
481,19,pAThya
482,19,tattvasAgara
483,19,kharavRSabha
484,19,kunalin
485,19,kRtaphala
486,19,cedika
487,19,madhyamakeya
488,19,guNI
489,19,sundarammanya
490,19,mithyAbhizApa
491,19,kaTanagara
492,19,ghumaghumArava
493,20,vibudhasakha
494,20,vratapAraNa
495,20,AtmavidhitsA
496,20,agneyAnI
497,20,hastikakSa
498,20,zakaTI
499,20,dRSTadoSa
500,20,kuMz
501,20,jatU
502,20,zrIbhadra
503,20,dArukacchaka
504,20,nirvyasana
505,20,dvijanayana
506,20,pratyagAtmatA
507,20,zailazRGga
508,20,chandogabrAhmaNa
509,20,saMdigdhapunaruktatva
510,21,sunihita
511,21,gajayodhin
512,21,saMhatakulIna
513,21,tUSNIMgaGga
514,21,sanAla
515,21,sUditR
516,21,susampad
517,21,sudAmA
518,21,zIrSA
519,21,sehu
520,21,haricandra
521,21,kozazuddhi
522,21,dhiya
523,21,prANapradaphala
524,21,svagAkartR
525,21,bhaktAmRta
526,21,khaDgaroman
527,21,ucchiSTacANDAlinI
528,21,uttAnapANidvaya
529,21,saMnivRtti
530,21,vAtsI
531,21,upakozA
532,21,raNakSoNi
533,21,parizrAma
534,21,krodhavivazA
535,21,gaDDAlikA
536,21,padmodbhavaprAdurbhAva
537,21,naivedyavidhi
538,21,nivasana
539,21,ekanAyaka
540,21,zrAmaNI
541,21,zrIkhaNDazaila
542,21,nAtidhanin
543,22,avapAka
544,22,manohA
545,22,pratisvam
546,22,nIlamaya
547,22,sUryacandra
548,22,jJAtakulIna
549,22,anuttara
550,22,dhUrtA
551,22,dRgjyA
552,22,khuraNas
553,22,zramaNA
554,22,vijitAri
555,22,dhAtu
556,22,kArabha
557,22,azmottha
558,22,dasra
559,22,svadhRti
560,22,sargya
561,22,sundarikAtIrtha
562,22,meghavana
563,22,rAmAyaNika
564,22,yatkiMciccAraka
565,22,amRtAnanda
566,22,nyAyakutUhala
567,22,vivRttadaMSTra
568,22,adAbhya
569,22,dvizANya
570,22,citradhrajati
571,22,anyoktizataka
572,22,Asvan
573,22,zayyAsanastha
574,22,praNADI
575,22,hastijAgarika
576,22,ayohanu
577,22,vacanazata
578,22,parivah
579,22,anurud
580,23,uSAkala
581,23,camatkaraNa
582,23,sarvam
583,23,vaizvadevavidhi
584,23,ajoSya
585,24,nihata
586,24,evaMnAman
587,24,alakta
588,24,zrIviSNupadI
589,24,AdhArarUpA
590,24,puroDAzIya
591,24,khaNDazAkhA
592,24,namaskArastava
593,24,tadvattA
594,24,nRpatva
595,24,pApadhI
596,24,rasAdAna
597,24,sAyatana
598,24,yathAvidhAnena
599,24,jraya
600,24,atapaska
601,24,rAzyaMza
602,24,alaMkAraka
603,24,vimArgaga
604,24,ArabhaTa
605,24,Urdhvam
606,24,bez
607,24,kAlagaGgA
608,24,rAmAnujacaritra
609,24,svedana
610,24,pizaGgatva
611,24,paranirvANa
612,24,azvahanu
613,24,satrikUTa
614,24,bahirbhAga
615,24,bhAvavAcaka
616,24,subhavas
617,24,vyupanI
618,24,candrApIDa
619,24,khaNDapANi
620,24,bhAlayAnandAcArya
621,24,nirAmin
622,24,zizirAyaNa
623,24,azitaMgavIna
624,24,rAjita
625,24,ruSat
626,24,zrutiraJjanI
627,25,karmAravana
628,25,kAcakUpI
629,25,candrabhAga
630,25,vizravas
631,25,mantradevatAprakAza
632,25,kSIrakaJcukin
633,25,antarya
634,25,mahac
635,25,krozayuga
636,25,mAgadhika
637,25,ekadeza
638,25,parisamohana
639,25,zUkazimbikA
640,25,vRSodara
641,25,raGgadhAtu
642,25,zrIkhaNDI
643,25,kRSNabalakSa
644,25,gautamavana
645,25,vikacazrI
646,25,maNDUkAnuvRtti
647,25,sammIlita
648,25,ramyarUpa
649,25,vAtopajUta
650,25,vihalha
651,25,vIbukoza
652,25,bhAgavittikIya
653,25,uddhRtya
654,25,raNDa
655,25,sahaujas
656,25,saMvanin
657,25,antaHpracalita
658,25,carmasAra
659,25,gulaJcakanda
660,25,bhakSaMkAra
661,25,avaghaTTita
662,25,induvadanA
663,25,mAnasya
664,25,abhiprIti
665,25,pariNam
666,25,samoha
667,25,avadrai
668,25,anupramud
669,26,pravRttivijJAna
670,26,kiMkarI
671,26,virAvaNa
672,26,vyAlajihvA
673,26,gharmaga
674,26,vArayuvati
675,26,avalokana
676,26,bhera
677,26,mukharajju
678,26,ki
679,26,soDhagovinda
680,26,pAdaka
681,26,nimnalalATa
682,26,vinyas
683,26,uruJjirA
684,26,saTTaya
685,26,kAJcukIya
686,26,sahasrazatadakSiNa
687,26,muhUrtabhairava
688,26,rudrAkSamAhAtmyavarNana
689,26,apUrvatva
690,26,hvAyaka
691,26,nirdhanatA
692,26,paJcaprAdeza
693,26,gomUtrajAti
694,26,lakSmIvAkya
695,26,prAntaga
696,26,brahmadAtR
697,26,duradhyeyatva
698,26,vAmAvacara
699,26,satyabodhavijayastotra
700,26,caturdhAvihita
701,26,sarvavAGnidhana
702,26,sahapati
703,26,durbhAgya
704,26,mUtraparIkSA
705,26,moga
706,27,bahudhanya
707,27,antaHsadas
708,27,diksAmya
709,27,girijAkumAra
710,27,phalazAlitva
711,27,bidAlaka
712,27,saindhavasarpis
713,27,bahirindriya
714,27,nyAvicchAy
715,27,zamantakastotra
716,27,karNaviSa
717,27,suratha
718,27,trivartu
719,27,nakta
720,27,nistRS
721,27,paJcagaNayoga
722,27,gandhapalAzikA
723,27,pArAvatasavarNa
724,27,nAgavat
725,27,godAraNa
726,27,sAnumat
727,27,viSNumantravizeSa
728,27,kAraveya
729,27,svapnadoSa
730,27,zabdasiddhi
731,27,baddhapaGkavat
732,27,vaikaGkata
733,27,adaya
734,27,pravasatha
735,27,mahAmoda
736,27,susUkSmapattrA
737,28,paJcalakSaNIkroDa
738,28,pAJcAlanAtha
739,28,surApagA
740,28,mallArisahasranAman
741,28,eSaNI
742,28,ananyaviSaya
743,28,sadhamAdya
744,28,utkArikA
745,28,vaNiggrAma
746,28,nAmadhA
747,28,milita
748,28,upAsaka
749,28,stryAdivyatyAsam
750,28,pRtsudha
751,28,karaGkiNI
752,28,puSpazara
753,28,kAmacandra
754,28,pratisaMjihIrSu
755,28,guptibandham
756,28,aparkyapRSTha
757,28,anuviSThA
758,28,sthUlatA
759,28,madhugandhika
760,28,upalahasta
761,28,prAntavirasa
762,28,yamagAthA
763,28,droghamitra
764,29,tilakezvaratIrtha
765,29,candragraha
766,29,karmazAlA
767,29,zazAGkalekhA
768,29,dhIraya
769,29,rathagranthi
770,29,vrajAGgana
771,29,vizrutAbhijana
772,29,lokasaMvyavahAranAmakAGka
773,29,zapharIya
774,29,bahuvarNa
775,29,zazvatkAma
776,29,nyAyAlaMkAra
777,29,vizvarAj
778,29,vikalatva
779,29,zatapAd
780,29,bhAgavatI
781,29,zuSkakalaha
782,29,ananuSaGgin
783,29,bhujamUla
784,29,parzumaya
785,29,carmakRt
786,29,bhUjambu
787,29,parasevA
788,29,upAgrya
789,29,skabhita
790,29,nirutpAta
791,29,navaka
792,29,libi
793,29,apajvara
794,29,bhartRloka
795,29,upavad
796,29,vRkSavAsyaniketa
797,29,ghRtavatsa
798,29,bhAgavata
799,29,viSNurAta
800,29,daMsi
801,29,sArA
802,29,priyaMdada
803,29,nyAyadvayakAraNatAvAda
804,29,anRtapazu
805,29,dhRtapaTa
806,30,smitapUrvAbhibhASin
807,30,karkazacchadA
808,30,anRGga
809,30,anUSara
810,30,garbhanud
811,30,pratihitA
812,30,saptarAtrika
813,31,aparItta
814,31,zaradvasu
815,31,anuyoga
816,31,kRtanAmaka
817,31,jayAntarAya
818,31,lakSmIvratapUjA
819,31,tuhinakiraNa
820,31,magadin
821,31,viSuvaddivasa
822,31,bANavRSTi
823,31,mahiSIkanda
824,31,maSyabhAvAt
825,31,sukanyAka
826,31,aSTAGgasamanvAgata
827,31,syandani
828,31,kAGkSI
829,31,sthUlAsya
830,31,gaNitazAstra
831,31,maMhiSTharAti
832,31,abhivRS
833,31,saptadhA
834,31,upaprabhUS
835,31,zivadyumaNidIpikA
836,31,pitRdina
837,31,sujatru
838,31,taSTi
839,31,nIlagarbha
840,31,sarajat
841,31,tejorUpa
842,31,gUDhArthatattvadIpikA
843,31,naiSAdAyana
844,31,mokSapravezavyavasthAna
845,31,kozIdhAnya
846,31,karkeNata
847,31,ayAna
848,31,pratikSoNibhRt
849,31,kandArha
850,31,sAmavAyika
851,31,saMdheya
852,31,ADhyatA
853,31,anutpAdya
854,31,vayodhas
855,31,zitibhru
856,31,maitrabha
857,31,sahasrapoSya
858,32,AbhikAmika
859,32,bhUspRz
860,32,sindhurAjJI
861,32,babakAra
862,32,vrIhibheda
863,32,zrotravAdin
864,32,snAnavidhisUtrabhASya
865,33,kuraGgalocanA
866,33,krUrasarpavat
867,33,akSakAma
868,33,aparAvapiSTha
869,33,satyASADhI
870,33,sumegha
871,33,uddhR
872,33,priyaprepsu
873,33,mRgAGkasena
874,33,madhuzcyut
875,33,akRtajJatA
876,33,dUraga
877,33,nRsiMhamahatazcaritra
878,33,yamatIrtha
879,33,vAMza
880,33,strIveSadhArin
881,33,bhAgavatatAtparya
882,33,mayUramaya
883,33,paralokagamana
884,33,mAtRpAlita
885,33,rahasyatrayakArikAvyAkhyA
886,33,mokSadharmaparvan
887,33,niSpattra
888,33,prapANDura
889,33,mAjava
890,33,zIdhu
891,33,mUlaguNajAti
892,33,vizAladatta
893,33,samparyAp
894,33,saruc
895,33,bhokSyaka
896,33,mAMsasaMghAta
897,33,aghos
898,33,paJcAyudhaprapaJca
899,33,suleka
900,33,mASI
901,33,anativRtti
902,33,tRNazUlya
903,34,vRttaka
904,34,prasUnAzuga
905,34,pUrvadizya
906,34,namrAGga
907,34,sotsAham
908,34,vasAgraha
909,34,asraphalA
910,34,abhayagirivihAra
911,34,utpannabuddhi
912,34,sUryapattra
913,34,ucitajJa
914,34,baddhakadambaka
915,34,saMsphAna
916,34,amarSaNa
917,34,bhaTTi
918,35,madhvasiddhAntabhaJjana
919,35,adhirUDhAkarNa
920,35,kAlaparivAsa
921,35,yogezArNava
922,35,saptala
923,35,gandhamUlA
924,35,himavAlukA
925,35,udArasattva
926,35,upAnta
927,35,sariNyu
928,35,parogoSTham
929,35,abhikara
930,36,paramarahasyajapasaMgraha
931,36,jyotsnikA
932,36,anIhamAna
933,36,zrIvaiSNava
934,36,dUSI
935,36,Ahvarakantha
936,36,samunnamana
937,36,hotRvUrya
938,36,punarukta
939,36,vijayendraparAbhava
940,36,caJcarIkAvalI
941,36,sarvasasyavat
942,36,zikSAnara
943,36,zamyAparAsin
944,36,gokuNika
945,36,mahAgRha
946,36,nADIvijJAna
947,36,viparus
948,36,vanAlaya
949,37,yajadhyai
950,37,bhujagAbhojin
951,37,jAtibhraMzakara
952,37,sAvajJa
953,37,hAriNaka
954,37,vivAhotsava
955,37,prasavitR
956,37,khalli
957,37,paramazobhana
958,37,pAdarohaNa
959,37,zAntividhAna
960,37,prItidatta
961,37,viSayavAda
962,37,mandabhAj
963,37,padmAvabhAsa
964,37,bhUmipracala
965,37,suruGga
966,37,kRSNadvAdazI
967,37,ghurughurAghoSa
968,37,nandapAla
969,37,apramRSya
970,37,chAdin
971,37,vizvajIva
972,37,vaidambha
973,37,vighnitasamAgamasukha
974,38,zamavyasanin
975,38,aparasvastika
976,38,kSup
977,39,khaTvAGgabhRt
978,39,candrakIrti
979,39,viSANavat
980,39,bhanandana
981,39,aritra
982,39,salilAJjali
983,39,vasumatI
984,39,guNakezI
985,39,dIpadhvaja
986,39,suptavAkya
987,39,zambhuzikSA
988,39,vaTasAvitrIvrata
989,39,samprItimat
990,39,anUnavarcas
991,39,abhAvayitR
992,39,upanimantr
993,39,ArAdhya
994,39,sarvakAmagama
995,39,anupasthApayat
996,39,saMlakSaNa
997,39,vallabhadeva
998,39,prAtarAza
999,39,purUdvaha
1000,39,pavItR
1001,39,samabhyarc
1002,39,doha
1003,39,bhUr
1004,39,phalasambhU
1005,39,laveTikA
1006,39,akAmasaMjJapana
1007,39,piGgakapizA
1008,39,anazanAya
1009,39,chAgalAntrI
1010,39,saMkalparUpa
1011,39,mRgezvara
1012,39,yoginIhRdayasetubandha
1013,39,yajJAMzabhuj
1014,39,vigarhya
1015,39,pRSTabandhu
1016,39,dhvajotthApanamantra
1017,39,svAduSkilIyA
1018,39,bhujagarAjAya
1019,39,sarvasvarita
1020,39,zabdakoza
1021,39,caturviMzAkSara
1022,39,brahmasUtrAnubhASyapradIpa
1023,40,vijayasiMha
1024,40,nandikezvarapurANa
1025,40,dravitR
1026,40,vaidyajIvana
1027,40,titikSA
1028,40,sAMdhivigrahika
1029,40,pApapati
1030,40,bhASin
1031,40,dhruvase
1032,40,yavodara
1033,40,naimiSi
1034,40,citAnala
1035,40,astha
1036,40,yogabhAskara
1037,40,kAlakendra
1038,40,jhalarI
1039,40,rudrajApaviniyoga
1040,40,mapuSThaka
1041,40,vAmanakArikA
1042,40,turyauhI
1043,40,vidUratva
1044,40,svAdugandha
1045,40,kAmArNava
1046,40,amucI
1047,40,praNavArthanirNaya
1048,40,kSudraka
1049,40,ajahA
1050,40,sAmAnyabhAva
1051,40,sukharatha
1052,40,pUyazoNita
1053,40,phalaparivRtti
1054,40,nirvrata
1055,40,kavyatA
1056,40,kararddhi
1057,40,svarNakSIrI
1058,40,azrAnta
1059,40,dvijajetR
1060,40,dhenumakSikA
1061,40,sRNikA
1062,40,vAriloman
1063,40,bIjavivRtikalpalatAvatAra
1064,40,lokAtizaya
1065,41,rAjamahila
1066,41,voDa
1067,41,SaSThama
1068,41,ziloJchavRtti
1069,41,khanitrikA
1070,41,saMtAnagopAla
1071,41,samparI
1072,41,apazyanA
1073,41,mandAya
1074,41,nighaNTa
1075,41,zAkaTika
1076,41,muktAvalIkiraNa
1077,41,unmAdaka
1078,41,hAviryajJika
1079,41,praznazekhara
1080,41,vidhRS
1081,41,kSetrarakSa
1082,41,diGmukhamaNDala
1083,41,alarka
1084,41,zredhIvyavahAra
1085,41,purorukka
1086,41,sapramANa
1087,41,bRhadratnAkara
1088,41,narapriya
1089,41,zaGkhadhvani
1090,41,abhisRtya
1091,41,gaNAdhipa
1092,41,niravakAzatA
1093,41,dyumnasAti
1094,42,zamalagRhIta
1095,42,tAvadvIryavat
1096,42,rasayoni
1097,42,antrAda
1098,42,raj
1099,42,azanavat
1100,42,yakSapati
1101,42,harika
1102,42,niSpada
1103,42,rAmAnujagrantha
1104,42,pIThanAyikA
1105,42,vallabhasiddhAntaTIkA
1106,42,sambhASA
1107,42,viruddhArthatA
1108,43,cyutAdhikAra
1109,43,nidAnasUtra
1110,43,yogasaMgraha
1111,43,zabdabrahmamaya
1112,43,yatkAraNam
1113,43,snavana
1114,43,uSTrazirodhara
1115,43,zrAddhakalpabhASyagobhilIya
1116,43,durlikhita
1117,43,snehanIya
1118,43,saubhAgyazayanavrata
1119,43,jIvanahetu
1120,43,abhayapradAna
1121,43,chAdmika
1122,43,bhAnumatIpariNaya
1123,43,naipAla
1124,43,dolArUDha
1125,44,janinIlikA
1126,44,pratyabhibhASin
1127,44,vArmikya
1128,44,pailava
1129,44,pratirodha
1130,44,gRdhrANa
1131,44,kandarpa
1132,44,zatapatha
1133,44,vikUbara
1134,44,avahA
1135,44,sAdhAraNapakSa
1136,44,karaNAdhikAra
1137,44,bRMhaNa
1138,44,siddharAjavarNana
1139,44,mUrvAmaya
1140,44,gharmakAla
1141,44,saptasama
1142,44,devasaMhitA
1143,44,utsatti
1144,44,nikaTavartin
1145,44,siddhAntapakSa
1146,44,buddhagayA
1147,45,guhyapattraka
1148,45,vRkSazUnya
1149,45,sarvaliGgasaMnyAsa
1150,45,visrambh
1151,45,mUtraghAta
1152,45,vidyAdharatva
1153,45,paTuparNikA
1154,45,pravAhaNeyaka
1155,45,sudRSTi
1156,45,puNDarIkAtapatra
1157,45,vAJchezvaramAhAtmya
1158,45,aNDajezvara
1159,45,sAmavAyika
1160,46,pANDalameghA
1161,46,merukalpa
1162,46,viparyas
1163,46,kRSNakarman
1164,46,samaGgala
1165,46,javanikA
1166,46,divyagAyana
1167,46,heDieva
1168,46,mandAyus
1169,46,mUlanagara
1170,46,sthiramanas
1171,46,cAtuzcaraNikA
1172,46,zIlavRddha
1173,46,rathayAtaka
1174,46,svApavyasana
1175,46,kAJcanaprabhA
1176,46,madhurAlApA
1177,46,paryAbhU
1178,46,kroDakhorA
1179,46,bhAvaskhalita
1180,46,sAkSibhAvita
1181,46,kaccheSTa
1182,46,odanavat
1183,46,viyuktatA
1184,46,vyAghrI
1185,46,mema
1186,46,kRtavrata
1187,46,vinIla
1188,46,sampradIpta
1189,46,zucijanman
1190,46,kathopakathana
1191,46,upAtaGkya
1192,46,vibhAga
1193,46,nAmasUtra
1194,46,akAmakarzana
1195,46,hitArtham
1196,46,viparyUh
1197,46,mAnasotka
1198,46,pratizAsti
1199,46,nairAzya
1200,46,upakumbhA
1201,46,jalakumbha
1202,46,hiraNyasraj
1203,47,yAthArthika
1204,47,mahAnidrA
1205,47,okS
1206,47,somavAravratAcaraNakrama
